Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Tue 19th Jun 2018 at 19:00,19/06 Llanberis,3.1km / 1.9m,192m / 630ft,Heights Hotel Llanberis,Wales,Wales,1.9,192,Heights Hotel Llanberis,http://fellrunner.org.uk/races.php?id=5474 
Tue 19th Jun 2018 at 19:15,19/06 Bridestone,7.5km / 4.7m,375m / 1230ft,Harley Wood Playing Fields off Stoney Royd Lane Todmorden OL14 8EP (see registration below),England,South/West Pennines,4.7,375,Harley Wood Playing Fields off Stoney Royd Lane Todmorden OL14 8EP (see registration below),http://fellrunner.org.uk/races.php?id=5667 
Tue 19th Jun 2018 at 19:30,19/06 Beacon Batch,8km / 5m,305m / 1001ft,Burrington Inn Burrington Bristol BS40 7AT,England,South West,5.0,305,Burrington Inn Burrington Bristol BS40 7AT,http://fellrunner.org.uk/races.php?id=5734 
Tue 19th Jun 2018 at 19:30,19/06 Calton Crawl,8.5km / 5.3m,244m / 801ft,Calton Village Hall ST10 3JX,England,Peak District,5.3,244,53.048981 -1.846308,http://fellrunner.org.uk/races.php?id=5489 
Tue 19th Jun 2018 at 19:30,19/06 Tor Mile,2km / 1.2m,168m / 551ft,Robin Hood pub Holcombe Rd Textile Museum BB4 4NP,England,South/West Pennines,1.2,168,Robin Hood pub Holcombe Rd Textile Museum BB4 4NP,http://fellrunner.org.uk/races.php?id=5685 
Wed 20th Jun 2018 at 19:00,20/06 Summer Solstice,8.3km / 5.2m,255m / 837ft,The Dartmoor Inn Merrivale PL20 6ST,England,South West,5.2,255,The Dartmoor Inn Merrivale PL20 6ST,http://fellrunner.org.uk/races.php?id=5912 
Wed 20th Jun 2018 at 19:15,20/06 Humbleton Fell,8.5km / 5.3m,240m / 787ft,Shaftoe Trust Primary School Haydon Bridge NE47 6BN,England,Northumberland / Durham,5.3,240,54.971273 -2.246791,http://fellrunner.org.uk/races.php?id=5894 
Wed 20th Jun 2018 at 19:15,20/06 Langstrath,7.5km / 4.7m,430m / 1411ft,Langstrath Hotel Stonethwaite Borrowdale CA12 5XG,England,Lake District,4.7,430,Langstrath Hotel Stonethwaite Borrowdale CA12 5XG,http://fellrunner.org.uk/races.php?id=5376 
Wed 20th Jun 2018 at 19:15,20/06 Whorlton Run,6.2km / 3.9m,427m / 1401ft,Swainby Village Hall Stokesley N Yorks,England,North York Moors,3.9,427,Swainby Village Hall Stokesley N Yorks,http://fellrunner.org.uk/races.php?id=5437 
Wed 20th Jun 2018 at 19:30,20/06 Pontesbury,4.9km / 3m,354m / 1161ft,Registration at Pontesbury Sec School Bogey Lane Pontesbury SY5 0TG,England,Shropshire/Welsh Borders,3.0,354,Registration at Pontesbury Sec School Bogey Lane Pontesbury SY5 0TG,http://fellrunner.org.uk/races.php?id=5789 
Thu 21st Jun 2018 at 19:15,21/06 Aggie's Staircase,6.4km / 4m,350m / 1148ft,Punstock Rd Darwen,England,South/West Pennines,4.0,350,Punstock Rd Darwen,http://fellrunner.org.uk/races.php?id=5800 
Thu 21st Jun 2018 at 19:15,21/06 Beamsley Beacon,8.8km / 5.5m,335m / 1099ft,St Peters Church Church Street Addingham LS29 0QS,England,York. Dales,5.5,335,53.944266 -1.884182,http://fellrunner.org.uk/races.php?id=5665 
Thu 21st Jun 2018 at 19:30,21/06 Grindleford,7.2km / 4.5m,152m / 499ft,Bishop's Pavilion Grindleford S32 2JX,England,Peak District,4.5,152,Bishop's Pavilion Grindleford S32 2JX,http://fellrunner.org.uk/races.php?id=5422 
Sat 23rd Jun 2018 at 10:30,23/06 Windy Gyle,13.7km / 8.5m,549m / 1801ft,Roadside sheep pens 800m N of Barrowburn Farm Alwinton,England,Northumberland / Durham,8.5,549,55.395459 -2.217853,http://fellrunner.org.uk/races.php?id=5670 
Sat 23rd Jun 2018 at 11:00,23/06 Darren Holloway Memorial Race ( Buttermere Horseshoe ),35.5km / 22.1m,2515m / 8251ft,Loweswater Village Hall,England,Lake District,22.1,2515,54.577774 -3.331994,http://fellrunner.org.uk/races.php?id=5485 
Sat 23rd Jun 2018 at 15:00,23/06 James Blakeley,5km / 3.1m,180m / 591ft,Harden Moss Sheepdog Trials Greenfield Rd Holmfirth HD9 3XF,England,Peak District,3.1,180,Harden Moss Sheepdog Trials Greenfield Rd Holmfirth HD9 3XF,http://fellrunner.org.uk/races.php?id=5487 
Sun 24th Jun 2018 at 10:00,24/06 North Devon  Aonb Marathon,42km / 26.1m,1030m / 3379ft,The Green Esplanade Woolacombe Devon,England,South West,26.1,1030,The Green Esplanade Woolacombe Devon,http://fellrunner.org.uk/races.php?id=5527 
Sun 24th Jun 2018 at 10:15,24/06 North Devon Aonb Half Marathon,21km / 13m,413m / 1355ft,The Green Esplanade Woolacombe North Devon,England,South West,13.0,413,The Green Esplanade Woolacombe North Devon,http://fellrunner.org.uk/races.php?id=5528 
Sun 24th Jun 2018 at 11:00,24/06 Cronkley,16.9km / 10.5m,535m / 1755ft,Bowlees Visitor Centre Newbiggin Barnard Castle DL12 0XF,England,Northumberland / Durham,10.5,535,Bowlees Visitor Centre Newbiggin Barnard Castle DL12 0XF,http://fellrunner.org.uk/races.php?id=5401 
Sun 24th Jun 2018 at 11:00,24/06 Kinder Trog,25.7km / 16m,1064m / 3491ft,Scout Hut Hayfield,England,Peak District,16.0,1064,53.382553 -1.948845,http://fellrunner.org.uk/races.php?id=5604 
Sun 24th Jun 2018 at 12:00,24/06 Hawkswick Dash ( B O F R A ),1.9km / 1.2m,193m / 633ft,Outgang Lane Hawkswick Littondale BD23 5PX Off B10 between Grassington and Arncliffe,England,York. Dales,1.2,193,Outgang Lane Hawkswick Littondale BD23 5PX Off B10 between Grassington and Arncliffe,http://fellrunner.org.uk/races.php?id=5552 
Sun 24th Jun 2018 at 14:00,24/06 Arnison Dash,2.4km / 1.5m,300m / 984ft,King George playing fields Patterdale,England,Lake District,1.5,300,King George playing fields Patterdale,http://fellrunner.org.uk/races.php?id=5653 
Sun 24th Jun 2018,24/06 Moel-y-gamelin,16km / 9.9m,880m / 2887ft,Ponderosa Cafe Horseshoe Pass Llangollen 193481,Wales,Wales,9.9,880,Ponderosa Cafe Horseshoe Pass Llangollen 193481,http://fellrunner.org.uk/races.php?id=5810 
Tue 26th Jun 2018 at 19:30,26/06 Trevor Milner Riber Run,6.8km / 4.2m,305m / 1001ft,Lea Green Matlock DE4 5GJ,England,Peak District,4.2,305,Lea Green Matlock DE4 5GJ,http://fellrunner.org.uk/races.php?id=5611 
Wed 27th Jun 2018 at 19:00,27/06 Tebay,13km / 8.1m,914m / 2999ft,Tebay Recreation Ground,England,Lake District,8.1,914,54.434482 -2.590412,http://fellrunner.org.uk/races.php?id=5788 
