Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Sun 13th May 2018 at 11:00,13/05 Excalibur 10k,10.2km / 6.3m,420m / 1378ft,Coed Moel Famau Denbighshire,Wales,Wales,6.3,420,Coed Moel Famau Denbighshire,http://fellrunner.org.uk/races.php?id=5919 
Tue 15th May 2018 at 19:15,15/05 Mynydd Mawr,6.7km / 4.2m,450m / 1476ft,Y Fron Community Centre Y Fron Caernarfon,Wales,Wales,4.2,450,53.069530 -4.229823,http://fellrunner.org.uk/races.php?id=5471 
Wed 16th May 2018 at 19:00,16/05 Fox & Hounds,14.5km / 9m,457m / 1499ft,Fox & Hounds Ainthorpe Castleton Whitby,England,North York Moors,9.0,457,Fox & Hounds Ainthorpe Castleton Whitby,http://fellrunner.org.uk/races.php?id=5607 
Wed 16th May 2018 at 19:00,16/05 Latrigg,4.8km / 3m,290m / 951ft,Fitz Park Sports Pavilion Keswick,England,Lake District,3.0,290,Fitz Park Sports Pavilion Keswick,http://fellrunner.org.uk/races.php?id=5400 
Wed 16th May 2018 at 19:15,16/05 Caw,9.3km / 5.8m,550m / 1804ft,Near Blacksmiths Arms Broughton Mills Cumbria LA20 6AX,England,Lake District,5.8,550,Near Blacksmiths Arms Broughton Mills Cumbria LA20 6AX,http://fellrunner.org.uk/races.php?id=5949 
Wed 16th May 2018 at 19:15,16/05 Shining Tor,10km / 6.2m,311m / 1020ft,Errwood Sailing Club Goyt Valley Sandy Ln Buxton Derbyshire SK17 6GJ,England,Peak District,6.2,311,Errwood Sailing Club Goyt Valley Sandy Ln Buxton Derbyshire SK17 6GJ,http://fellrunner.org.uk/races.php?id=5446 
Wed 16th May 2018 at 19:30,16/05 Kildwick,6km / 3.7m,245m / 804ft,White Lion Kildwick between Keighley and Skipton,England,South/West Pennines,3.7,245,53.907471 -1.984745,http://fellrunner.org.uk/races.php?id=5874 
Fri 18th May 2018 at 19:30,18/05 Hayfield May Queen,4.7km / 2.9m,200m / 656ft,Hayfield Scout Hut Swallowhouse Lane Hayfield  SK22 2HB,England,Peak District,2.9,200,Hayfield Scout Hut Swallowhouse Lane Hayfield  SK22 2HB,http://fellrunner.org.uk/races.php?id=5995 
Sat 19th May 2018 at 08:00,19/05 Old County Tops,59km / 36.7m,3050m / 10006ft,New Dungeon Gill Hotel Great Langdale,England,Lake District,36.7,3050,New Dungeon Gill Hotel Great Langdale,http://fellrunner.org.uk/races.php?id=5819 
Sat 19th May 2018 at 11:00,19/05 Malham Kirkby Fell Juniors,Unknown,Unknown,Near Field Barns Malham,England,York. Dales,0.0,0,Near Field Barns Malham,http://fellrunner.org.uk/races.php?id=5807 
Sat 19th May 2018 at 11:00,19/05 Mount Famine,8km / 5m,564m / 1850ft,Hayfield Scout Hut Swallow House Lane,England,Peak District,5.0,564,Hayfield Scout Hut Swallow House Lane,http://fellrunner.org.uk/races.php?id=5644 
Sat 19th May 2018 at 12:00,19/05 Buttermere Sailbeck,15km / 9.3m,1315m / 4314ft,Buttermere Village,England,Lake District,9.3,1315,54.541505 -3.278255,http://fellrunner.org.uk/races.php?id=5830 
Sat 19th May 2018 at 13:00,19/05 Y Gader ( Cader Idris),17.6km / 10.9m,915m / 3002ft,Free Library Eldon Square Dolgellau LL40 1PS,Wales,Wales,10.9,915,Free Library Eldon Square Dolgellau LL40 1PS,http://fellrunner.org.uk/races.php?id=5468 
Sat 19th May 2018 at 14:00,19/05 Malham Kirkby Fell,6.4km / 4m,274m / 899ft,Near Field Barns Malham,England,York. Dales,4.0,274,Near Field Barns Malham,http://fellrunner.org.uk/races.php?id=5806 
Sat 19th May 2018,19/05 Alan Kirk Memorial Lad's Leap,9.5km / 5.9m,518m / 1699ft,Crowden Campsite Woodhead off A628,England,Peak District,5.9,518,Crowden Campsite Woodhead off A628,http://fellrunner.org.uk/races.php?id=5758 
Sat 19th May 2018,19/05 Kong Mini Mm Evening,Unknown,Unknown,Peak District exact location tbc 1 month before event,England,Peak District,0.0,0,Peak District exact location tbc 1 month before event,http://fellrunner.org.uk/races.php?id=5453 
Sun 20th May 2018 at 08:00,20/05 Calderdale Way Relay,80.5km / 50m,3660m / 12008ft,North Dean Woods West Vale Halifax W Yorks,England,South/West Pennines,50.0,3660,North Dean Woods West Vale Halifax W Yorks,http://fellrunner.org.uk/races.php?id=5626 
Sun 20th May 2018 at 11:00,20/05 Lantern Pike Dash,2km / 1.2m,200m / 656ft,Lantern Pike Inn Little Hayfield SK22 2NG,England,Peak District,1.2,200,Lantern Pike Inn Little Hayfield SK22 2NG,http://fellrunner.org.uk/races.php?id=5843 
Sun 20th May 2018 at 12:00,20/05 Sedbergh ( B O F R A ),5km / 3.1m,550m / 1804ft,Sedbergh Library,England,York. Dales,3.1,550,Sedbergh Library,http://fellrunner.org.uk/races.php?id=5521 
Sun 20th May 2018 at 13:00,20/05 Glaramara,8km / 5m,700m / 2297ft,Glaramara Outdoor Centre Seatoller Borrowdale,England,Lake District,5.0,700,Glaramara Outdoor Centre Seatoller Borrowdale,http://fellrunner.org.uk/races.php?id=5817 
Mon 21st May 2018 at 18:45,21/05 Trunce 4,6.4km / 4m,170m / 558ft,Oxspring Playing Field Oxspring Sheffield,England,Peak District,4.0,170,53.506807 -1.591361,http://fellrunner.org.uk/races.php?id=5432 
