Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Sun 9th Sep 2018 at 11:00,09/09 Padfield Plum Fair Scamper,8.8km / 5.5m,320m / 1050ft,Padfield Recreation Ground Hadfield,England,Peak District,5.5,320,Padfield Recreation Ground Hadfield,http://fellrunner.org.uk/races.php?id=5752 
Sun 9th Sep 2018 at 12:00,09/09 Stanhope Show,9.1km / 5.7m,340m / 1115ft,Unthank Park Stanhope County Durham DL13 2PQ,England,Northumberland / Durham,5.7,340,Unthank Park Stanhope County Durham DL13 2PQ,http://fellrunner.org.uk/races.php?id=5986 
Sun 9th Sep 2018 at 13:30,09/09 Bradley,6km / 3.7m,230m / 755ft,Playing Fields Bradley Skipton BD20 9DF,England,South/West Pennines,3.7,230,Playing Fields Bradley Skipton BD20 9DF,http://fellrunner.org.uk/races.php?id=5993 
Sun 9th Sep 2018,09/09 Cyrn-y-brain,11.25km / 7m,365m / 1197ft,Ponderosa Cafe Horseshoe Pass Llangollen 193481,Wales,Wales,7.0,365,Ponderosa Cafe Horseshoe Pass Llangollen 193481,http://fellrunner.org.uk/races.php?id=5808 
Sun 9th Sep 2018,09/09 La Sportiva Lake District Mountain Trial,Unknown,Unknown,Grasmere LA22 9SJ,England,Lake District,0.0,0,54.456785 -3.019549,http://fellrunner.org.uk/races.php?id=5551 
Sat 15th Sep 2018 at 08:00,15/09 Axnfell,28km / 17.4m,1800m / 5905ft,Axnfell Plantation,England,Isle of Man,17.4,1800,Axnfell Plantation,http://fellrunner.org.uk/races.php?id=5641 
Sat 15th Sep 2018 at 09:00,15/09 Peak Raid Round 1 - 6 Hour,Unknown,Unknown,Peak District exact location 1 month beforehand,England,Peak District,0.0,0,Peak District exact location 1 month beforehand,http://fellrunner.org.uk/races.php?id=5764 
Sat 15th Sep 2018 at 11:00,15/09 St  Boniface Fell,3.9km / 2.4m,235m / 771ft,St Catherines School Grove Road Ventnor IOW PO38 1TT,England,South East,2.4,235,50.595418 -1.207337,http://fellrunner.org.uk/races.php?id=5566 
Sat 15th Sep 2018 at 11:00,15/09 Three Shires,20km / 12.4m,1220m / 4003ft,Three Shires Inn Little Langdale Ambleside,England,Lake District,12.4,1220,Three Shires Inn Little Langdale Ambleside,http://fellrunner.org.uk/races.php?id=5677 
Sat 15th Sep 2018 at 13:00,15/09 Beinn Resipol,12km / 7.5m,850m / 2789ft,Resipole Campsite Ardnamurchan PH36 4HX,Scotland,Scotland,7.5,850,56.710226 -5.720308,http://fellrunner.org.uk/races.php?id=5792 
Sat 15th Sep 2018 at 13:00,15/09 Cross Keys Road & Fell Relay,Unknown,Unknown,Cross Keys Inn Church Rd Uppermill,England,South/West Pennines,0.0,0,53.552446 -1.989394,http://fellrunner.org.uk/races.php?id=5608 
Sat 15th Sep 2018 at 13:00,15/09 Scafell Pike,7.2km / 4.5m,914m / 2999ft,Field adjacent to Wasdale Head campsite,England,Lake District,4.5,914,Field adjacent to Wasdale Head campsite,http://fellrunner.org.uk/races.php?id=5622 
