Date, Race, Distance, Ascent, Venue, Web
Sun 11th Jun 2017 at 11:00,Knowl Hill,9.7km / 6m,396m / 1299ft,Brown Cow Norden Rochdale OL12 7RB,http://fellrunner.org.uk/races.php?id=5041 
Thu 6th Jul 2017 at 19:30,Bull Hill,8.8km / 5.5m,335m / 1099ft,Red Lion Pub Hawkshaw Bury,http://fellrunner.org.uk/races.php?id=5046 
Wed 19th Jul 2017 at 19:15,Widdop,11.3km / 7m,366m / 1201ft,Packhorse Inn (The Ridge) Widdop,http://fellrunner.org.uk/races.php?id=5058 
Tue 26th Dec 2017 at 11:30,Whinberry Naze,6.4km / 4m,229m / 751ft,Marl Pits Sports Centre Newchurch Road Rawtenstall,http://fellrunner.org.uk/races.php?id=5059 
Sat 18th Nov 2017 at 14:00,Harriers V Cyclists,8.5km / 5.3m,288m / 945ft,Bradford & Bingley Sports Club Wagon Ln Bingley,http://fellrunner.org.uk/races.php?id=5061 
Sat 29th Jul 2017 at 14:30,Turnslack,12.9km / 8m,610m / 2001ft,Calderbrook Church Calderbrook RdSummit,http://fellrunner.org.uk/races.php?id=5063 
Wed 17th May 2017 at 19:30,Blackstone Edge,5.6km / 3.5m,366m / 1201ft,Knowl Farm Lydgate Hamlet Blackstone Edge Old Rd Littleborough OL15 0LL,http://fellrunner.org.uk/races.php?id=5070 
Sun 4th Jun 2017 at 10:30,Edenfield,10.3km / 6.4m,477m / 1565ft,Edenfield Cricket Club Gincroft Lane BL0 0JW,http://fellrunner.org.uk/races.php?id=5075 
Wed 26th Jul 2017 at 19:00,Lee Mill,10km / 6.2m,332m / 1089ft,Lee Mill Quarry site,http://fellrunner.org.uk/races.php?id=5080 
Sun 26th Nov 2017 at 10:00,Lee Mill Relay,10km / 6.2m,340m / 1115ft,SD866211,http://fellrunner.org.uk/races.php?id=5081 
Thu 6th Jul 2017 at 19:15,Tockholes Evening,9.3km / 5.8m,335m / 1099ft,The Rock Public House Tockholes Rd Tockholes Darwen,http://fellrunner.org.uk/races.php?id=5082 
Sat 1st Jul 2017 at 15:15,Oakworth Haul,9km / 5.6m,250m / 820ft,Oakworth Gala field Victoria Rd Oakworth BD22 7HT,http://fellrunner.org.uk/races.php?id=5083 
Sun 19th Mar 2017 at 11:15,Rivock Edge,10.9km / 6.8m,269m / 883ft,Silsden Sports Club Keighley Road SilsdenKeighley BD20 0EH,http://fellrunner.org.uk/races.php?id=5094 
Sat 11th Mar 2017 at 08:00,Haworth Hobble,51km / 31.7m,1340m / 4396ft,Haworth Primary School Rawdon Road Haworth BD22 8DW,http://fellrunner.org.uk/races.php?id=5100 
Sun 17th Sep 2017 at 15:00,Beefy's Nab,4.8km / 3m,198m / 650ft,Denholme Rd Leeming Oxenhope Keighley BD22 9NU,http://fellrunner.org.uk/races.php?id=5101 
Wed 3rd May 2017 at 19:30,Lothersdale,5.8km / 3.6m,180m / 591ft,Village Hall LothersdaleSkipton,http://fellrunner.org.uk/races.php?id=5102 
Wed 5th Jul 2017 at 19:30,Rob Shepherd's Stirton,9km / 5.6m,360m / 1181ft,Stirton Skipton,http://fellrunner.org.uk/races.php?id=5103 
Sun 29th Oct 2017 at 11:00,Bronte Way,12km / 7.5m,351m / 1152ft,Aisled Barn Wycoller Country Park Trawden Colne BB8 8SY,http://fellrunner.org.uk/races.php?id=5104 
Wed 17th May 2017 at 19:30,Kildwick,6km / 3.7m,245m / 804ft,White Lion  Kildwick between Keighley and Skipton,http://fellrunner.org.uk/races.php?id=5105 
Sun 17th Dec 2017 at 11:30,Stoop,8km / 5m,250m / 820ft,Penistone Hill Country ParkHaworth Keighley,http://fellrunner.org.uk/races.php?id=5119 
Sun 15th Jan 2017 at 11:30,Soreen Stanbury Splash,12km / 7.5m,400m / 1312ft,Penistone Hill Country ParkHaworth Keighley,http://fellrunner.org.uk/races.php?id=5120 
Thu 8th Jun 2017 at 19:30,Walsh Two Lads,8.4km / 5.2m,274m / 899ft,Bridge Inn Church St Horwich,http://fellrunner.org.uk/races.php?id=5122 
